	log_likelihood
457	327.217
458	337.8004
459	334.07642
460	120.09143
461	315.19684
462	308.88675
463	255.77905
464	305.5995
465	284.62848
466	332.64337
467	311.64496
468	350.9438
469	295.03116
470	282.74377
471	277.75055
472	222.92232
473	286.5991
474	325.5418
475	355.10162
476	357.92227
477	340.11444
478	263.90436
479	284.2527
480	305.46487
481	101.76853
482	282.05972
483	307.5857
484	137.11746
485	300.1652
486	294.40634
487	339.8665
488	272.28964
489	200.26198
490	275.3645
491	283.01492
492	345.3049
493	245.1551
494	232.70708
495	228.91939
496	336.44196
497	249.35881
498	272.1501
499	253.12491
500	304.13013
501	328.96133
502	301.7054
503	304.0707
504	256.80612
505	291.75934
506	301.80206
507	229.23653
508	327.19046
509	318.59546
510	344.6553
511	269.25244
512	314.34818
513	309.63422
514	306.4287
515	295.649
516	332.6585
517	323.25665
518	295.90662
519	296.38516
520	265.08624
521	69.56059
522	325.84717
523	275.4499
524	276.97345
525	269.48288
526	299.19064
527	311.81497
528	340.73608
529	346.54175
530	286.69897
531	336.27335
532	291.77377
533	300.5107
534	311.0814
535	306.91223
536	301.8136
537	325.96567
538	277.97208
539	349.5454
540	289.15216
541	337.06314
542	89.67979
543	314.11374
544	325.34863
545	313.65778
546	271.76996
547	265.31134
548	288.90643
549	315.88193
550	342.75613
551	235.0665
552	234.08005
553	306.45663
554	290.84723
555	311.24402
556	308.1375
557	313.98737
558	296.99472
559	313.94498
560	277.02875
561	335.95737
562	291.39087
563	246.08994
564	291.90118
565	328.39786
566	334.42975
567	291.18024
568	337.85117
569	268.88953
570	292.23126
571	350.1983
572	226.15903
573	249.93747
574	289.2742
575	259.84927
576	290.78476
577	344.75204
578	336.1664
579	325.4348
580	306.5547
581	282.52994
582	320.97223
583	281.6014
584	340.15338
585	245.75098
586	240.6818
587	295.20224
588	344.5929
589	256.64163
590	290.23315
591	318.30927
592	336.5084
593	267.44122
594	300.54498
595	158.58768
596	368.0345
597	263.00165
598	333.62045
599	291.10855
600	296.20764
601	278.74927
602	318.84268
603	235.90335
604	234.53154
605	300.18646
606	320.2674
607	315.10693
608	248.98178
609	246.47437
610	304.13797
611	290.51114
612	289.56174
613	188.45895
614	326.69604
615	297.41183
616	327.05148
617	312.8121
618	305.09058
619	246.08846
620	335.78653
621	295.49515
622	270.05157
623	309.025
624	304.15656
625	315.06943
626	338.69922
627	242.17667
628	361.46695
629	315.2968
630	180.05115
631	300.11197
632	272.07925
633	350.6447
634	268.91043
635	263.75958
636	220.2321
637	322.32227
638	313.96027
639	306.2527
640	293.06903
641	169.26126
642	285.79227
643	331.97726
644	230.70361
645	312.31906
646	278.76617
647	307.12466
648	308.16
649	335.85117
650	260.49805
651	198.26685
652	299.67664
653	269.24417
654	248.93706
655	208.9583
656	322.08463
657	314.2963
658	285.84717
659	257.13138
660	301.5439
661	278.01312
662	300.529
663	343.56854
664	260.6147
665	281.92084
666	322.45557
667	226.252
668	180.5344
669	135.14682
670	266.82697
671	256.85968
672	329.27164
673	268.7016
674	202.83194
675	264.83307
676	213.23628
677	323.8676
678	341.59198
679	338.4732
680	319.87918
681	297.81638
682	269.91733
683	309.33136
684	303.6107
685	299.6617
686	280.40616
687	298.3159
688	331.17267
689	298.5164
690	225.39243
691	323.96292
692	320.35483
693	317.74246
694	159.9739
695	275.72256
696	358.19046
697	261.62393
698	300.13965
699	255.1788
700	215.66772
701	263.00644
702	240.84732
703	323.1306
704	345.49863
705	263.6948
706	224.19211
707	325.40747
708	184.64334
709	296.7916
710	310.17657
711	305.07733
712	339.1477
713	223.82495
714	198.1277
715	274.2305
716	352.83832
717	312.57758
718	138.9983
719	240.6927
720	271.7149
721	313.18384
722	325.66376
723	304.844
724	275.43054
725	192.83823
726	337.6535
727	266.90668
728	343.3725
729	243.75635
730	299.33096
731	296.66486
732	322.9797
733	270.93353
734	304.49
735	318.60968
736	331.09076
737	332.28537
738	355.73218
739	315.74652
740	315.78418
741	311.16843
742	286.66922
743	281.07394
744	356.9949
745	320.1723
746	348.38837
747	263.51816
748	303.09473
